Difficulty Level,Trial,Mining Time (s)
0,1,5.459785461425781e-05
0,2,1.8358230590820312e-05
0,3,0.00011849403381347656
0,4,7.224082946777344e-05
0,5,1.52587890625e-05
0,6,2.0742416381835938e-05
0,7,9.441375732421875e-05
0,8,1.1920928955078125e-05
0,9,5.245208740234375e-05
0,10,3.910064697265625e-05
0,11,0.00013303756713867188
0,12,0.00018835067749023438
0,13,2.6941299438476562e-05
0,14,0.00015997886657714844
0,15,7.367134094238281e-05
0,16,0.00016951560974121094
0,17,3.2901763916015625e-05
0,18,0.00014495849609375
0,19,8.106231689453125e-05
0,20,7.796287536621094e-05
0,21,0.00014734268188476562
0,22,9.179115295410156e-05
0,23,1.9073486328125e-05
0,24,0.00015401840209960938
0,25,6.628036499023438e-05
0,26,6.9141387939453125e-06
0,27,8.606910705566406e-05
0,28,0.00014448165893554688
0,29,1.1444091796875e-05
0,30,2.3365020751953125e-05
00,1,0.0021674633026123047
00,2,0.00014448165893554688
00,3,0.0007624626159667969
00,4,4.38690185546875e-05
00,5,0.00045299530029296875
00,6,0.00030422210693359375
00,7,0.0016736984252929688
00,8,0.0001342296600341797
00,9,0.00023126602172851562
00,10,0.001245260238647461
00,11,0.0003006458282470703
00,12,0.00017118453979492188
00,13,0.0003955364227294922
00,14,0.0012352466583251953
00,15,0.000102996826171875
00,16,0.0007135868072509766
00,17,0.00025725364685058594
00,18,0.0004146099090576172
00,19,0.0001800060272216797
00,20,0.0010919570922851562
00,21,0.00018072128295898438
00,22,0.0003113746643066406
00,23,0.0004680156707763672
00,24,0.002986907958984375
00,25,0.0009365081787109375
00,26,0.0010139942169189453
00,27,0.0005164146423339844
00,28,0.0007016658782958984
00,29,5.91278076171875e-05
00,30,0.0004932880401611328
000,1,0.01658940315246582
000,2,0.013193845748901367
000,3,0.020766258239746094
000,4,0.0030298233032226562
000,5,0.011404991149902344
000,6,0.041999101638793945
000,7,0.008954524993896484
000,8,0.020511865615844727
000,9,0.045264244079589844
000,10,0.0045850276947021484
000,11,0.00238800048828125
000,12,0.00470733642578125
000,13,0.006947040557861328
000,14,0.024501323699951172
000,15,0.004529476165771484
000,16,0.006478548049926758
000,17,0.02020096778869629
000,18,0.016709089279174805
000,19,0.015576362609863281
000,20,0.007002353668212891
000,21,0.0452268123626709
000,22,0.007579326629638672
000,23,0.005372047424316406
000,24,0.004454851150512695
000,25,0.011649847030639648
000,26,0.010067462921142578
000,27,0.00043129920959472656
000,28,0.008815526962280273
000,29,0.01994776725769043
000,30,0.0010809898376464844
0000,1,0.04132676124572754
0000,2,0.09674334526062012
0000,3,0.14510726928710938
0000,4,0.4848921298980713
0000,5,0.03566479682922363
0000,6,0.11660647392272949
0000,7,0.1911299228668213
0000,8,0.13131022453308105
0000,9,0.1814408302307129
0000,10,0.0014524459838867188
0000,11,0.03258776664733887
0000,12,0.007458209991455078
0000,13,0.09858322143554688
0000,14,0.07726025581359863
0000,15,0.7322542667388916
0000,16,0.08405804634094238
0000,17,0.19244146347045898
0000,18,0.06517505645751953
0000,19,0.0780344009399414
0000,20,0.04883909225463867
0000,21,0.1383500099182129
0000,22,0.1358349323272705
0000,23,0.3833913803100586
0000,24,0.48349571228027344
0000,25,0.15825581550598145
0000,26,0.29729652404785156
0000,27,0.27090024948120117
0000,28,0.2933933734893799
0000,29,0.081634521484375
0000,30,0.24596738815307617
00000,1,0.9937305450439453
00000,2,0.5077972412109375
00000,3,0.5690634250640869
00000,4,0.4046931266784668
00000,5,2.6298463344573975
00000,6,2.6485226154327393
00000,7,1.0562894344329834
00000,8,1.8752751350402832
00000,9,1.0836279392242432
00000,10,4.52501916885376
00000,11,1.623591661453247
00000,12,1.8693337440490723
00000,13,6.120544195175171
00000,14,5.946001052856445
00000,15,1.3521969318389893
00000,16,5.624451637268066
00000,17,1.6414177417755127
00000,18,0.851947546005249
00000,19,0.19513702392578125
00000,20,0.5031642913818359
00000,21,3.0478835105895996
00000,22,1.6015605926513672
00000,23,1.7312908172607422
00000,24,6.318530559539795
00000,25,1.2100436687469482
00000,26,2.8105804920196533
00000,27,5.7466137409210205
00000,28,7.389521598815918
00000,29,1.2475636005401611
00000,30,5.599713325500488
